,region1,region2,corrected_p_set1,corrected_p_set2,corrected_p_set3
95,S1-Thalfus,Paracentral-Thalfus,0.00448,0.00898,0.1602
96,S1-Thalfus,M1L-M1R,0.20231,0.08746,0.17416
97,S1-Thalfus,S1L-S1R,0.11335,0.01834,0.42201
98,S1-Thalfus,S1-M1,9E-05,9E-05,0
99,Paracentral-Thalfus,M1L-M1R,9E-05,0.00018,0.0043
100,Paracentral-Thalfus,S1L-S1R,0.00046,0.00022,0.1519
101,Paracentral-Thalfus,S1-M1,0,0,0
102,M1L-M1R,S1L-S1R,0.73207,0.38604,0.79866
103,M1L-M1R,S1-M1,0.00017,0.00247,0
104,S1L-S1R,S1-M1,0.00111,0.02109,0.1519
