,set1,set1_T,set2,set2_T,set3,set3_T,tract
0,0.014083203110870322,2.6643288070368336,0.033640194196359156,2.2379636960344893,0.43764660010888357,0.788375969227907,S1-Brainstem
1,0.000982945213530706,3.6650624533530465,0.007845640071920306,2.9165856465383664,0.43764660010888357,0.781776400276946,M1-Brainstem
2,0.007954884695038003,2.9009630737170355,0.023952963889136255,2.4345386915139433,0.0735636765635137,1.8446099274629064,Paracentral-Brainstem
3,6.358322468175633e-06,5.5058883659175155,1.7155171946255896e-05,5.092874642294459,6.358322468175633e-06,5.447364099844157,S1-Thalfus
4,6.994455720413244e-05,4.6973911726842825,0.00016569369868767376,4.3529747340173195,0.0002869059590422007,4.1272808353934725,M1-Thalfus
5,0.028582101646721064,2.319196928318737,0.027548609976742893,2.3446502915999865,0.0246483846900818,2.4040877899564803,Paracentral-Thalfus
6,0.0002075846923057814,4.254639270863815,0.00040826170656403643,3.979194858098008,0.00014845102314501956,4.417804935104236,S1-Caud
7,0.0136457871559582,2.6955877276124807,0.0246483846900818,2.410629884594818,0.06483753376862846,1.93923854281916,M1-Caud
8,0.06793644732656907,1.8932711733551695,0.06793644732656907,1.9009140476522501,0.014911093866547183,2.6310288262178956,Paracentral-Caud
9,6.358322468175633e-06,5.604466943529439,6.358322468175633e-06,5.4328734898306745,6.358322468175633e-06,5.492449417074849,S1-Lenti
10,0.00012226970508355474,4.529285191480821,0.00016569369868767376,4.408978867906968,0.0002524613336820076,4.172901604870885,M1-Lenti
11,0.0005657663549946765,3.862664002458962,0.000692923099161692,3.788960443012252,0.0002524613336820076,4.154748232399458,Paracentral-Lenti
12,6.358322468175633e-06,5.542907943061134,6.358322468175633e-06,5.536229348373544,0.00016569369868767376,4.444930262089147,S1L-S1R
13,0.0018651309134936937,3.433831635966922,0.0014195711861680848,3.5345304676826994,0.0032294443629742355,3.249456200140416,M1L-M1R
14,6.358322468175633e-06,5.470505152144215,7.173078761020216e-06,5.356412686884688,6.358322468175633e-06,5.478499571910873,S1-M1
