,bundle,Cognitive-ScaledScore_set1,ReceptiveCom-ScaledScore_set1,ExpressiveCom-ScaledScore_set1,FineMotor-ScaledScore_set1,GrossMotor-ScaledScore_set1,Cognitive-ScaledScore_set2,ReceptiveCom-ScaledScore_set2,ExpressiveCom-ScaledScore_set2,FineMotor-ScaledScore_set2,GrossMotor-ScaledScore_set2,Cognitive-ScaledScore_set3,ReceptiveCom-ScaledScore_set3,ExpressiveCom-ScaledScore_set3,FineMotor-ScaledScore_set3,GrossMotor-ScaledScore_set3
0,M1-Brainstem,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.99423,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455
1,S1-Brainstem,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455
2,Paracentral-Brainstem,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455
3,M1-Caud,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455
4,S1-Caud,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455
5,Paracentral-Caud,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.99423,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455
6,M1-Lenti,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455
7,S1-Lenti,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9907905405405405,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455
8,Paracentral-Lenti,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455
9,M1-Thalfus,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455
10,S1-Thalfus,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.991140134529148,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455
11,Paracentral-Thalfus,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455
12,M1L-M1R,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455
13,S1L-S1R,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9907905405405405,0.9855920454545455,0.9855920454545455
14,S1-M1,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455,0.9855920454545455
