,region1,region2,corrected_p_set1,corrected_p_set2,corrected_p_set3
91,M1-Thalfus,Paracentral-Thalfus,0.14084,0.14972,0.20973
92,M1-Thalfus,M1L-M1R,0.00393,0.006,0.07569
93,M1-Thalfus,S1L-S1R,0.00847,0.00379,0.41084
94,M1-Thalfus,S1-M1,2E-05,5E-05,7E-05
95,S1-Thalfus,Paracentral-Thalfus,0.81316,0.9749,0.70118
96,S1-Thalfus,M1L-M1R,0.11214,0.16951,0.2739
97,S1-Thalfus,S1L-S1R,0.14084,0.07428,0.88121
98,S1-Thalfus,S1-M1,0.00553,0.02082,0.02031
99,Paracentral-Thalfus,M1L-M1R,0.19847,0.22034,0.52307
100,Paracentral-Thalfus,S1L-S1R,0.40199,0.18545,0.53402
101,Paracentral-Thalfus,S1-M1,0.00553,0.01534,0.09417
102,M1L-M1R,S1L-S1R,0.34955,0.77521,0.16997
103,M1L-M1R,S1-M1,0.1955,0.24159,0.42025
104,S1L-S1R,S1-M1,0.01459,0.1065,0.00159
